waktu,Muka_Air_Tanah_mean,Kedalaman_Sumur,Data_Air_Tanah
2026-01-19 10:00:00,0.8,70.0,69.2
2026-01-19 11:00:00,1.9,70.0,68.1
2026-01-19 12:00:00,1.91,70.0,68.09
2026-01-19 13:00:00,1.91,70.0,68.09
2026-01-19 14:00:00,1.92,70.0,68.08
2026-01-19 15:00:00,1.92,70.0,68.08
2026-01-19 16:00:00,1.92,70.0,68.08
2026-01-19 17:00:00,1.93,70.0,68.07
2026-01-19 18:00:00,1.92,70.0,68.08
2026-01-19 19:00:00,1.92,70.0,68.08
2026-01-19 20:00:00,1.92,70.0,68.08
2026-01-19 21:00:00,1.92,70.0,68.08
2026-01-19 22:00:00,1.92,70.0,68.08
2026-01-19 23:00:00,1.92,70.0,68.08
2026-01-20 00:00:00,1.92,70.0,68.08
2026-01-20 01:00:00,1.92,70.0,68.08
2026-01-20 02:00:00,1.92,70.0,68.08
2026-01-20 03:00:00,1.92,70.0,68.08
2026-01-20 04:00:00,1.92,70.0,68.08
2026-01-20 05:00:00,1.92,70.0,68.08
2026-01-20 06:00:00,1.92,70.0,68.08
2026-01-20 07:00:00,1.91,70.0,68.09
2026-01-20 08:00:00,1.91,70.0,68.09
2026-01-20 09:00:00,36.66,70.0,33.34
2026-01-20 10:00:00,53.39,70.0,16.61
2026-01-20 11:00:00,53.39,70.0,16.61
2026-01-20 12:00:00,53.39,70.0,16.61
2026-01-20 13:00:00,53.39,70.0,16.61
2026-01-20 14:00:00,53.39,70.0,16.61
2026-01-20 15:00:00,53.39,70.0,16.61
2026-01-20 16:00:00,53.38,70.0,16.619999999999997
2026-01-20 17:00:00,53.38,70.0,16.619999999999997
2026-01-20 18:00:00,53.38,70.0,16.619999999999997
2026-01-20 19:00:00,53.39,70.0,16.61
2026-01-20 20:00:00,53.39,70.0,16.61
2026-01-20 21:00:00,53.39,70.0,16.61
2026-01-20 22:00:00,53.39,70.0,16.61
2026-01-20 23:00:00,53.39,70.0,16.61
2026-01-21 00:00:00,53.39,70.0,16.61
2026-01-21 01:00:00,53.39,70.0,16.61
2026-01-21 02:00:00,53.39,70.0,16.61
2026-01-21 03:00:00,53.39,70.0,16.61
2026-01-21 04:00:00,53.39,70.0,16.61
2026-01-21 05:00:00,53.39,70.0,16.61
2026-01-21 06:00:00,53.39,70.0,16.61
2026-01-21 07:00:00,53.39,70.0,16.61
2026-01-21 08:00:00,53.39,70.0,16.61
2026-01-21 09:00:00,53.4,70.0,16.6
2026-01-21 10:00:00,53.4,70.0,16.6
2026-01-21 11:00:00,53.4,70.0,16.6
2026-01-21 12:00:00,53.4,70.0,16.6
2026-01-21 13:00:00,53.39,70.0,16.61
2026-01-21 14:00:00,53.39,70.0,16.61
2026-01-21 15:00:00,53.39,70.0,16.61
2026-01-21 16:00:00,53.39,70.0,16.61
2026-01-21 17:00:00,53.39,70.0,16.61
2026-01-21 18:00:00,53.39,70.0,16.61
2026-01-21 19:00:00,53.39,70.0,16.61
2026-01-21 20:00:00,53.39,70.0,16.61
2026-01-21 21:00:00,53.39,70.0,16.61
2026-01-21 22:00:00,53.39,70.0,16.61
2026-01-21 23:00:00,53.39,70.0,16.61
2026-01-22 00:00:00,53.39,70.0,16.61
2026-01-22 01:00:00,53.39,70.0,16.61
2026-01-22 02:00:00,53.39,70.0,16.61
2026-01-22 03:00:00,53.39,70.0,16.61
2026-01-22 04:00:00,53.39,70.0,16.61
2026-01-22 05:00:00,53.39,70.0,16.61
2026-01-22 06:00:00,53.4,70.0,16.6
2026-01-22 07:00:00,53.4,70.0,16.6
2026-01-22 08:00:00,53.4,70.0,16.6
2026-01-22 09:00:00,53.4,70.0,16.6
2026-01-22 10:00:00,53.4,70.0,16.6
2026-01-22 11:00:00,53.4,70.0,16.6
2026-01-22 12:00:00,53.4,70.0,16.6
2026-01-22 13:00:00,53.4,70.0,16.6
2026-01-22 14:00:00,53.39,70.0,16.61
2026-01-22 15:00:00,53.39,70.0,16.61
2026-01-22 16:00:00,53.39,70.0,16.61
2026-01-22 17:00:00,53.39,70.0,16.61
2026-01-22 18:00:00,53.39,70.0,16.61
2026-01-24 14:00:00,53.4,70.0,16.6
2026-01-24 15:00:00,53.39,70.0,16.61
2026-01-24 16:00:00,53.39,70.0,16.61
2026-01-24 17:00:00,53.39,70.0,16.61
2026-01-24 18:00:00,53.39,70.0,16.61
2026-01-24 19:00:00,53.39,70.0,16.61
2026-01-24 20:00:00,53.39,70.0,16.61
2026-01-24 21:00:00,53.39,70.0,16.61
2026-01-24 22:00:00,53.39,70.0,16.61
2026-01-24 23:00:00,53.39,70.0,16.61
2026-01-25 00:00:00,53.39,70.0,16.61
2026-01-25 01:00:00,53.39,70.0,16.61
2026-01-25 02:00:00,53.39,70.0,16.61
2026-01-25 03:00:00,53.39,70.0,16.61
2026-01-25 04:00:00,53.39,70.0,16.61
2026-01-25 05:00:00,53.39,70.0,16.61
2026-01-25 06:00:00,53.4,70.0,16.6
2026-01-25 07:00:00,53.4,70.0,16.6
2026-01-25 08:00:00,53.4,70.0,16.6
2026-01-25 09:00:00,53.4,70.0,16.6
2026-01-25 10:00:00,53.4,70.0,16.6
2026-01-25 11:00:00,53.4,70.0,16.6
2026-01-25 12:00:00,53.4,70.0,16.6
2026-01-25 13:00:00,53.4,70.0,16.6
2026-01-25 14:00:00,53.39,70.0,16.61
2026-01-25 15:00:00,53.39,70.0,16.61
2026-01-25 16:00:00,53.4,70.0,16.6
2026-01-25 17:00:00,53.39,70.0,16.61
2026-01-25 18:00:00,53.39,70.0,16.61
2026-01-25 19:00:00,53.39,70.0,16.61
2026-01-25 20:00:00,53.39,70.0,16.61
2026-01-25 21:00:00,53.39,70.0,16.61
2026-01-25 22:00:00,53.4,70.0,16.6
2026-01-25 23:00:00,53.4,70.0,16.6
2026-01-26 00:00:00,53.4,70.0,16.6
2026-01-26 01:00:00,53.4,70.0,16.6
2026-01-26 02:00:00,53.4,70.0,16.6
2026-01-26 03:00:00,53.4,70.0,16.6
2026-01-26 04:00:00,53.4,70.0,16.6
2026-01-26 05:00:00,53.4,70.0,16.6
2026-01-26 06:00:00,53.4,70.0,16.6
