level_0,index,Timestamp,Muka_Air_Tanah,Data_Air_Tanah,Kedalaman_Sumur,Kedalaman_Sensor,Diameter_Sumur,Discharge_Status
0,0,2026-01-01 00:00:00,1.5993428306022466,98.40065716939776,100.0,55.0,0.25,0
1,1,2026-01-01 01:00:00,1.472347139765763,98.52765286023424,100.0,55.0,0.25,0
2,2,2026-01-01 02:00:00,1.6295377076201385,98.37046229237986,100.0,55.0,0.25,0
3,3,2026-01-01 03:00:00,1.8046059712816052,98.1953940287184,100.0,55.0,0.25,0
4,4,2026-01-01 04:00:00,1.4531693250553328,98.54683067494467,100.0,55.0,0.25,0
5,5,2026-01-01 05:00:00,1.453172608610164,98.54682739138984,100.0,55.0,0.25,0
6,6,2026-01-01 06:00:00,8.440842563101478,91.55915743689852,100.0,55.0,0.25,1
7,7,2026-01-01 07:00:00,13.247236945830581,86.75276305416942,100.0,55.0,0.25,1
8,8,2026-01-01 08:00:00,16.72641762281301,83.27358237718698,100.0,55.0,0.25,1
9,9,2026-01-01 09:00:00,15.090387008717194,84.90961299128281,100.0,55.0,0.25,0
10,10,2026-01-01 10:00:00,13.271366461437509,86.72863353856249,100.0,55.0,0.25,0
11,11,2026-01-01 11:00:00,11.84721804928595,88.15278195071406,100.0,55.0,0.25,0
12,12,2026-01-01 12:00:00,10.735912774313208,89.2640872256868,100.0,55.0,0.25,0
13,13,2026-01-01 13:00:00,9.20236183266844,90.79763816733156,100.0,55.0,0.25,0
14,14,2026-01-01 14:00:00,8.269832169305396,91.7301678306946,100.0,55.0,0.25,0
15,15,2026-01-01 15:00:00,13.348654296007807,86.65134570399219,100.0,55.0,0.25,1
16,16,2026-01-01 16:00:00,16.893267627325116,83.10673237267488,100.0,55.0,0.25,1
17,17,2026-01-01 17:00:00,19.884724855063055,80.11527514493694,100.0,55.0,0.25,1
18,18,2026-01-01 18:00:00,17.441645526814476,82.55835447318552,100.0,55.0,0.25,0
